drug_id,drug_name,therapeutic_area,molecule_type,launch_year,region,month_year,units_sold,drug_price,competitor_1_price,competitor_2_price,competitor_3_price,insurance_coverage,hospital_tier,doctor_visits,marketing_spend,rep_visits,regulatory_flags,adverse_events,patient_income_level,total_revenue,market_share
D0152,ArthroAid,Immunology,Biosimilar,2014,Europe,01-2021,169,122.6,311.47,289.69,140.24,87,Tier 1,39,55832.39,39,0,7,Mid,20719.399999999998,37.39
D0131,Pulmofix,Cardiology,Biologic,2007,Europe,01-2021,189,335.51,219.55,146.95,169.38,87,Tier 3,47,161268.6,27,0,6,High,63411.39,35.06
D0150,Pulmofix,Neurology,Small Molecule,2011,North America,01-2021,209,223.85,202.22,82.39,428.02,97,Tier 1,46,26000.56,17,0,3,High,46784.65,34.89
D0053,Immunexa,Pulmonology,Biosimilar,2021,APAC,01-2021,206,93.42,203.74,258.41,309.53,73,Tier 2,51,109729.15,30,0,6,Low,19244.52,18.68
D0002,ArthroAid,Pulmonology,Biologic,2021,Europe,01-2021,175,407.07,302.78,215.53,89.93,55,Tier 2,53,49689.3,31,0,3,Mid,71237.25,27.65
D0088,Cardiolax,Diabetes,Small Molecule,2017,Europe,01-2021,196,264.92,330.88,355.47,368.71,64,Tier 3,56,22742.47,37,0,6,High,51924.32,21.33
D0158,OncoCure,Dermatology,Biologic,2014,LATAM,01-2021,198,489.16,236.84,454.0,119.58,76,Tier 1,50,105557.45,34,0,2,High,96853.68000000001,32.89
D0038,Neuroxin,Rheumatology,Biosimilar,2016,APAC,01-2021,202,155.21,484.97,406.52,227.84,47,Tier 1,61,104916.81,22,0,3,Low,31352.420000000002,31.03
D0130,Dermasol,Rheumatology,Biosimilar,2013,APAC,01-2021,204,250.72,60.25,151.74,330.37,68,Tier 2,46,144311.17,20,0,4,High,51146.88,31.78
D0192,Neuroxin,Neurology,Small Molecule,2013,North America,01-2021,189,235.04,186.58,441.89,150.53,91,Tier 3,43,151502.63,24,0,11,Low,44422.56,24.64
D0188,Diabetrol,Cardiology,Small Molecule,2017,APAC,01-2021,223,77.97,221.16,420.03,204.37,85,Tier 3,55,148280.38,32,0,5,High,17387.31,28.34
D0021,Diabetrol,Neurology,Small Molecule,2019,North America,01-2021,199,224.54,28.12,465.99,372.39,64,Tier 3,58,87816.16,30,0,4,High,44683.46,46.5
D0161,Neuroxin,Neurology,Biologic,2017,LATAM,01-2021,168,158.03,195.18,240.16,470.2,81,Tier 2,50,130021.06,34,0,3,Low,26549.04,37.0
D0058,Diabetrol,Dermatology,Biologic,2015,APAC,01-2021,220,96.95,151.38,388.92,274.04,62,Tier 2,51,119619.6,33,0,2,Low,21329.0,29.73
D0022,Cardiolax,Rheumatology,Biologic,2000,Europe,01-2021,199,155.43,262.9,304.0,24.79,73,Tier 3,57,90096.73,25,0,7,Mid,30930.57,25.06
D0089,Pulmofix,Cardiology,Small Molecule,2022,LATAM,01-2021,209,131.96,181.48,169.04,182.46,42,Tier 3,58,123470.41,21,0,4,High,27579.640000000003,24.62
D0049,Diabetrol,Immunology,Biosimilar,2010,North America,02-2021,215,372.36,368.57,497.33,211.34,69,Tier 1,45,189977.1,34,1,1,Mid,80057.40000000001,21.85
D0059,Immunexa,Dermatology,Biosimilar,2014,LATAM,02-2021,198,34.77,264.77,38.39,182.8,89,Tier 1,47,46649.81,27,0,0,Mid,6884.460000000001,16.74
D0170,Diabetrol,Neurology,Biologic,2011,North America,02-2021,194,316.38,82.29,97.89,229.41,92,Tier 3,57,182096.7,35,0,6,Low,61377.72,36.74
D0188,OncoCure,Neurology,Biologic,2007,LATAM,02-2021,175,385.12,380.03,448.42,323.68,73,Tier 2,49,20156.55,33,0,5,High,67396.0,31.7
D0015,Cardiolax,Immunology,Biosimilar,2021,North America,02-2021,218,250.75,67.63,49.07,78.14,71,Tier 2,35,68593.95,28,0,5,Low,54663.5,52.03
D0190,OncoCure,Neurology,Biosimilar,2019,APAC,02-2021,209,467.15,422.74,445.67,150.86,92,Tier 1,53,64747.6,32,1,9,High,97634.34999999999,27.25
D0190,OncoCure,Neurology,Biologic,2005,Europe,02-2021,189,359.78,467.08,363.31,263.67,68,Tier 3,56,129009.37,31,0,1,Low,67998.42,18.44
D0175,Immunexa,Neurology,Biologic,2002,North America,02-2021,213,379.0,174.77,37.61,171.48,48,Tier 2,55,34932.74,38,0,2,High,80727.0,19.38
D0190,Cardiolax,Pulmonology,Biosimilar,2012,LATAM,02-2021,228,114.53,464.55,226.07,495.72,41,Tier 2,69,177646.05,29,0,5,Mid,26112.84,19.62
D0051,Cardiolax,Dermatology,Small Molecule,2012,North America,02-2021,203,393.1,400.64,382.15,227.09,96,Tier 2,51,167424.77,19,0,4,High,79799.3,38.01
D0108,ArthroAid,Oncology,Biologic,2001,North America,02-2021,229,419.41,462.77,299.89,437.5,78,Tier 2,50,133892.51,36,0,5,High,96044.89,19.37
D0055,Cardiolax,Dermatology,Biosimilar,2004,North America,02-2021,208,193.41,339.81,469.22,450.32,46,Tier 1,50,97098.63,27,1,8,Low,40229.28,35.8
D0064,Cardiolax,Immunology,Biosimilar,2016,LATAM,02-2021,187,122.41,133.11,436.47,421.28,85,Tier 2,34,187261.65,44,0,7,High,22890.67,28.73
D0131,Cardiolax,Neurology,Biosimilar,2005,Europe,02-2021,234,204.82,449.37,179.67,42.51,44,Tier 2,46,167841.85,27,0,5,High,47927.88,28.85
D0051,Immunexa,Dermatology,Biosimilar,2001,APAC,02-2021,220,375.01,108.45,60.62,474.92,47,Tier 3,46,104869.88,34,0,6,High,82502.2,27.95
D0135,Diabetrol,Pulmonology,Small Molecule,2003,Europe,02-2021,170,220.47,122.27,473.24,81.8,71,Tier 3,66,143355.94,28,0,4,High,37479.9,19.02
D0021,ArthroAid,Rheumatology,Biosimilar,2021,North America,02-2021,171,373.59,150.11,268.3,36.51,94,Tier 1,57,117716.69,38,0,4,Mid,63883.88999999999,18.57
D0073,OncoCure,Immunology,Biologic,2010,LATAM,02-2021,179,74.51,166.04,55.71,218.9,93,Tier 1,61,121709.03,37,0,5,Low,13337.29,17.79
D0167,Cardiolax,Diabetes,Small Molecule,2007,Europe,02-2021,177,406.89,266.95,411.96,113.42,57,Tier 1,51,72885.45,28,0,5,High,72019.53,16.06
D0018,Dermasol,Dermatology,Biosimilar,2011,North America,02-2021,182,141.54,362.46,436.88,108.41,77,Tier 1,55,97796.07,27,0,3,Low,25760.28,32.79
D0132,Diabetrol,Diabetes,Small Molecule,2007,APAC,02-2021,215,139.49,464.58,326.92,158.15,85,Tier 2,45,24843.07,37,0,6,Mid,29990.350000000002,33.49
D0089,Diabetrol,Neurology,Biologic,2010,APAC,02-2021,221,303.38,62.45,234.8,139.23,57,Tier 3,52,77896.25,28,0,8,Mid,67046.98,18.71
D0060,OncoCure,Pulmonology,Biosimilar,2021,APAC,02-2021,189,53.66,478.1,337.84,348.7,88,Tier 2,39,142207.42,25,0,3,High,10141.74,40.04
D0014,Immunexa,Pulmonology,Biologic,2019,North America,02-2021,193,32.62,462.24,359.21,109.65,80,Tier 2,50,191111.05,30,0,6,Low,6295.66,17.29
D0009,Neuroxin,Dermatology,Biosimilar,2007,LATAM,02-2021,213,145.29,45.92,448.65,280.7,84,Tier 2,37,192982.18,30,0,3,Low,30946.769999999997,42.09
D0090,Neuroxin,Immunology,Biosimilar,2007,Europe,02-2021,209,278.27,192.95,478.81,493.48,55,Tier 3,57,115587.35,27,0,8,Low,58158.42999999999,19.02
D0053,Diabetrol,Immunology,Biosimilar,2016,APAC,02-2021,211,455.66,410.31,266.87,227.54,60,Tier 1,45,125258.23,35,0,3,Mid,96144.26000000001,36.25
D0130,Pulmofix,Pulmonology,Biosimilar,2019,North America,02-2021,183,426.29,313.56,403.28,328.1,49,Tier 1,50,45287.03,30,0,11,Mid,78011.07,31.44
D0084,Pulmofix,Immunology,Biosimilar,2019,North America,03-2021,185,255.41,393.97,482.96,485.3,81,Tier 3,47,142108.54,39,0,8,High,47250.85,21.31
D0092,OncoCure,Pulmonology,Small Molecule,2022,Europe,03-2021,216,37.78,365.14,92.6,86.07,43,Tier 3,46,23425.17,29,0,10,Low,8160.4800000000005,42.27
D0111,Neuroxin,Dermatology,Biosimilar,2015,APAC,03-2021,209,276.92,258.45,28.77,220.93,83,Tier 1,64,64090.28,33,0,7,Low,57876.280000000006,19.17
D0188,Diabetrol,Oncology,Biosimilar,2013,North America,03-2021,219,358.3,39.78,437.1,428.09,98,Tier 2,50,136989.04,22,1,9,Mid,78467.7,33.74
D0199,Immunexa,Pulmonology,Small Molecule,2010,Europe,03-2021,198,182.8,300.45,113.73,467.51,47,Tier 1,53,68958.92,26,0,7,High,36194.4,18.88
D0172,Neuroxin,Diabetes,Small Molecule,2006,LATAM,03-2021,207,73.31,43.31,40.39,308.59,86,Tier 3,42,19470.91,31,0,8,High,15175.17,26.14
D0008,Diabetrol,Immunology,Small Molecule,2015,LATAM,03-2021,182,153.71,309.79,96.85,88.84,92,Tier 1,61,168055.38,29,0,8,High,27975.22,20.2
D0175,Diabetrol,Pulmonology,Small Molecule,2012,LATAM,03-2021,203,390.36,404.2,204.38,452.71,94,Tier 1,47,68962.7,26,0,4,Mid,79243.08,25.34
D0035,Cardiolax,Pulmonology,Small Molecule,2014,APAC,03-2021,181,188.6,300.8,125.25,103.73,58,Tier 1,55,21989.99,31,0,5,Low,34136.6,26.62
D0081,Immunexa,Dermatology,Small Molecule,2015,Europe,03-2021,202,409.75,498.57,166.52,189.38,86,Tier 3,48,24209.75,24,1,6,High,82769.5,28.94
D0164,Cardiolax,Immunology,Biosimilar,2020,Europe,03-2021,208,173.37,238.82,488.14,200.24,79,Tier 3,47,57834.17,35,0,5,High,36060.96,18.72
D0050,OncoCure,Oncology,Biosimilar,2022,North America,03-2021,192,98.51,379.44,358.11,234.7,79,Tier 1,48,43823.03,28,0,2,Low,18913.920000000002,17.41
D0104,Cardiolax,Dermatology,Biologic,2008,North America,03-2021,184,229.21,340.26,361.85,399.28,90,Tier 1,53,157117.02,28,0,5,High,42174.64,48.04
D0132,Dermasol,Oncology,Biosimilar,2002,North America,03-2021,190,237.09,495.89,65.45,405.03,48,Tier 2,60,71119.97,28,0,3,Mid,45047.1,51.35
D0002,Cardiolax,Rheumatology,Biosimilar,2018,Europe,03-2021,188,27.73,362.35,371.41,365.43,69,Tier 2,44,162892.2,35,0,7,High,5213.24,17.59
D0134,Dermasol,Dermatology,Small Molecule,2019,North America,03-2021,215,76.18,98.73,374.89,30.62,95,Tier 1,52,43030.74,30,0,1,Low,16378.7,18.3
D0054,Neuroxin,Immunology,Small Molecule,2004,Europe,03-2021,211,108.76,478.65,336.68,291.13,56,Tier 3,50,103647.04,29,0,1,Mid,22948.36,64.53
D0106,Pulmofix,Cardiology,Biosimilar,2009,Europe,03-2021,231,74.52,340.53,129.65,378.8,79,Tier 2,46,140727.06,30,0,3,High,17214.12,22.32
D0004,ArthroAid,Immunology,Biologic,2016,LATAM,03-2021,200,183.93,48.48,223.06,233.42,83,Tier 1,42,133878.26,31,0,2,Low,36786.0,39.14
D0054,ArthroAid,Immunology,Small Molecule,2014,North America,03-2021,201,483.02,335.63,426.21,473.57,98,Tier 2,53,124214.59,31,0,5,Low,97087.01999999999,17.25
D0191,Diabetrol,Oncology,Biosimilar,2022,LATAM,03-2021,213,264.43,443.9,341.7,415.43,54,Tier 2,50,185716.1,29,0,0,Low,56323.590000000004,48.63
D0146,ArthroAid,Oncology,Biosimilar,2007,APAC,03-2021,195,321.23,296.98,371.73,326.31,43,Tier 2,38,53419.78,22,1,4,Low,62639.850000000006,17.47
D0044,Dermasol,Immunology,Biologic,2014,APAC,03-2021,196,191.07,189.93,301.94,49.96,45,Tier 3,35,103806.65,31,0,4,High,37449.72,21.01
D0162,Immunexa,Immunology,Biologic,2020,APAC,03-2021,214,175.27,414.04,235.8,333.13,55,Tier 1,52,177958.58,40,0,3,High,37507.78,48.31
D0190,Cardiolax,Immunology,Small Molecule,2013,Europe,03-2021,192,31.11,395.61,384.34,457.56,65,Tier 3,50,24799.82,29,0,2,Mid,5973.12,20.25
D0014,Dermasol,Oncology,Biologic,2019,Europe,03-2021,207,260.16,281.21,52.6,202.13,96,Tier 3,46,20618.77,29,0,5,Mid,53853.12,19.27
D0095,Immunexa,Immunology,Biosimilar,2006,Europe,03-2021,173,252.13,94.09,343.12,422.3,76,Tier 2,63,54327.43,38,0,5,Low,43618.49,21.44
D0048,Pulmofix,Immunology,Biosimilar,2020,North America,03-2021,187,95.76,140.47,498.66,170.32,62,Tier 1,44,130274.03,22,0,3,Low,17907.120000000003,37.4
D0015,ArthroAid,Rheumatology,Biologic,2022,LATAM,03-2021,219,386.88,374.47,394.49,293.65,52,Tier 2,49,59377.13,27,0,2,Mid,84726.72,48.99
D0200,Pulmofix,Neurology,Biologic,2011,Europe,03-2021,209,256.48,406.92,159.47,331.24,86,Tier 3,47,46145.58,25,0,6,High,53604.32000000001,25.12
D0190,ArthroAid,Cardiology,Biologic,2016,LATAM,03-2021,211,182.72,154.05,153.35,345.44,56,Tier 3,56,97172.44,25,0,2,High,38553.92,21.91
D0040,Cardiolax,Diabetes,Biologic,2016,LATAM,04-2021,182,90.52,196.63,340.26,443.62,96,Tier 1,57,126583.63,31,0,7,High,16474.64,24.5
D0082,OncoCure,Cardiology,Small Molecule,2009,LATAM,04-2021,219,285.04,57.26,450.01,132.62,93,Tier 3,51,57225.96,41,0,5,Low,62423.76,19.95
D0111,Cardiolax,Neurology,Biologic,2018,North America,04-2021,198,381.35,362.46,297.42,145.94,66,Tier 3,35,67131.33,35,0,10,Mid,75507.3,55.93
D0053,Neuroxin,Diabetes,Small Molecule,2013,North America,04-2021,209,155.36,21.72,273.15,357.94,91,Tier 1,53,126576.27,19,0,2,Mid,32470.24,23.07
D0024,Dermasol,Dermatology,Biosimilar,2010,APAC,04-2021,190,125.02,42.34,96.98,105.05,61,Tier 2,62,189690.3,27,0,6,Mid,23753.8,33.75
D0154,Diabetrol,Immunology,Biologic,2001,APAC,04-2021,177,270.53,22.09,363.42,242.85,76,Tier 1,51,138200.93,33,2,6,High,47883.81,19.87
D0188,OncoCure,Neurology,Small Molecule,2017,LATAM,04-2021,185,94.56,329.75,357.1,29.62,58,Tier 3,51,158751.79,26,0,6,Mid,17493.600000000002,29.7
D0124,Cardiolax,Rheumatology,Biologic,2006,APAC,04-2021,212,339.97,220.35,484.14,87.67,78,Tier 1,61,79693.92,27,0,4,Mid,72073.64,18.07
D0041,Immunexa,Dermatology,Biosimilar,2011,LATAM,04-2021,185,310.56,162.82,164.09,345.85,74,Tier 2,61,61728.33,28,1,6,High,57453.6,43.33
D0157,OncoCure,Immunology,Biosimilar,2001,North America,04-2021,198,61.8,458.1,383.09,378.78,52,Tier 3,50,96310.87,30,0,6,Low,12236.4,27.5
D0015,Dermasol,Oncology,Biosimilar,2019,North America,04-2021,218,37.53,112.55,228.35,75.35,53,Tier 2,40,163355.24,36,0,2,Low,8181.54,33.49
D0045,ArthroAid,Pulmonology,Biologic,2017,North America,04-2021,217,317.74,206.9,288.07,129.3,87,Tier 2,43,96696.93,26,0,3,High,68949.58,18.76
D0065,OncoCure,Neurology,Biologic,2005,Europe,04-2021,179,161.26,471.35,411.9,67.47,70,Tier 1,52,170877.83,37,0,3,Mid,28865.539999999997,18.53
D0089,ArthroAid,Oncology,Small Molecule,2009,LATAM,04-2021,201,61.49,225.01,126.56,228.04,84,Tier 2,49,197866.68,33,0,6,Low,12359.49,46.42
D0071,Dermasol,Neurology,Biosimilar,2019,North America,04-2021,196,384.53,286.25,184.58,80.54,41,Tier 1,53,23685.07,30,2,2,Low,75367.87999999999,17.03
D0009,Cardiolax,Rheumatology,Biologic,2014,LATAM,04-2021,203,170.74,58.56,391.19,229.9,85,Tier 1,61,18627.93,27,0,5,Low,34660.22,35.87
D0088,Dermasol,Neurology,Biosimilar,2004,APAC,04-2021,190,240.61,399.28,293.82,371.41,91,Tier 2,50,38422.04,38,1,3,High,45715.9,43.58
D0129,OncoCure,Oncology,Biosimilar,2019,APAC,04-2021,209,133.67,222.92,64.36,348.03,78,Tier 1,62,83030.24,34,0,8,Low,27937.03,28.09
D0136,Immunexa,Rheumatology,Small Molecule,2002,North America,04-2021,202,321.11,404.25,226.49,154.62,76,Tier 1,51,34898.02,22,0,3,Mid,64864.22,64.54
D0063,Pulmofix,Diabetes,Small Molecule,2004,LATAM,04-2021,198,164.71,141.82,301.58,343.41,53,Tier 2,43,175426.25,32,0,7,High,32612.58,17.41
D0139,OncoCure,Cardiology,Small Molecule,2007,North America,04-2021,198,484.65,222.79,456.57,465.3,48,Tier 3,44,14397.79,40,1,2,High,95960.7,56.25
D0081,Dermasol,Immunology,Small Molecule,2007,APAC,04-2021,226,357.41,397.54,110.47,186.81,49,Tier 1,51,70000.62,22,0,4,Low,80774.66,40.72
D0136,Pulmofix,Neurology,Biosimilar,2007,North America,04-2021,206,85.63,487.46,406.86,177.98,46,Tier 1,60,45091.98,24,0,3,Mid,17639.78,48.24
D0163,Dermasol,Immunology,Small Molecule,2011,LATAM,04-2021,198,220.01,48.62,82.7,294.29,67,Tier 2,55,186992.47,33,0,6,High,43561.979999999996,17.1
D0163,Immunexa,Pulmonology,Small Molecule,2022,APAC,04-2021,191,205.0,409.98,136.27,137.84,85,Tier 1,48,137201.39,21,0,5,Low,39155.0,36.52
D0033,Dermasol,Oncology,Small Molecule,2007,Europe,04-2021,184,276.44,164.33,136.81,332.76,64,Tier 2,61,183285.75,21,0,2,Mid,50864.96,41.35
D0123,Cardiolax,Immunology,Small Molecule,2010,APAC,04-2021,205,424.13,284.36,441.19,419.49,85,Tier 3,46,194742.45,23,0,12,Mid,86946.65,22.83
D0005,Diabetrol,Oncology,Biosimilar,2013,Europe,04-2021,221,300.04,159.24,115.53,240.47,96,Tier 3,49,104448.67,31,0,1,High,66308.84000000001,25.14
D0041,ArthroAid,Immunology,Small Molecule,2007,North America,04-2021,197,49.55,314.45,397.74,346.16,67,Tier 2,50,54520.63,32,1,4,Low,9761.349999999999,16.81
D0028,ArthroAid,Cardiology,Biosimilar,2009,North America,04-2021,200,334.6,189.83,241.67,332.91,41,Tier 3,52,46808.47,29,0,6,Mid,66920.0,18.15
D0135,OncoCure,Cardiology,Biologic,2006,LATAM,05-2021,190,23.97,180.14,499.56,38.56,56,Tier 2,52,52354.58,33,0,4,High,4554.3,24.08
D0072,Diabetrol,Rheumatology,Biosimilar,2016,Europe,05-2021,189,394.38,38.21,422.76,108.04,98,Tier 1,67,144632.73,37,0,7,High,74537.81999999999,19.69
D0012,Dermasol,Cardiology,Biosimilar,2003,North America,05-2021,176,339.99,90.54,375.06,448.89,91,Tier 3,54,17684.69,34,2,5,High,59838.240000000005,38.77
D0162,Immunexa,Rheumatology,Small Molecule,2012,Europe,05-2021,200,168.22,460.2,437.95,470.67,43,Tier 1,41,19758.6,16,0,4,High,33644.0,30.26
D0033,OncoCure,Cardiology,Biologic,2003,North America,05-2021,190,160.37,499.17,324.33,394.61,52,Tier 1,42,125547.16,21,0,7,High,30470.3,38.23
D0048,Dermasol,Cardiology,Biologic,2004,APAC,05-2021,179,403.17,394.65,424.95,462.2,57,Tier 2,61,131990.86,25,0,7,Mid,72167.43000000001,21.57
D0151,Pulmofix,Cardiology,Biologic,2021,North America,05-2021,199,396.0,157.67,145.34,166.95,42,Tier 3,54,136399.96,29,0,2,High,78804.0,19.43
D0062,Neuroxin,Oncology,Biologic,2003,LATAM,05-2021,207,189.11,213.17,66.9,138.9,90,Tier 3,70,80657.3,32,2,5,Low,39145.770000000004,28.05
D0037,Dermasol,Neurology,Biosimilar,2017,APAC,05-2021,223,163.49,374.96,315.65,204.46,76,Tier 1,66,163129.53,25,1,3,Low,36458.270000000004,28.66
D0099,Diabetrol,Rheumatology,Biologic,2005,LATAM,05-2021,181,288.72,484.89,228.65,46.56,72,Tier 1,37,111388.67,35,0,4,Mid,52258.32000000001,23.09
D0172,OncoCure,Immunology,Biosimilar,2022,APAC,05-2021,206,24.02,238.63,224.69,408.74,80,Tier 2,47,30038.47,26,0,5,High,4948.12,17.62
D0104,Diabetrol,Cardiology,Biosimilar,2021,Europe,05-2021,205,59.68,418.17,272.84,492.4,63,Tier 3,36,161448.87,29,0,7,High,12234.4,44.76
D0035,OncoCure,Oncology,Biosimilar,2001,LATAM,05-2021,198,80.56,488.03,193.46,415.53,47,Tier 2,57,191082.88,40,0,6,Mid,15950.880000000001,31.18
D0193,Dermasol,Oncology,Biologic,2022,North America,05-2021,182,109.0,439.27,320.51,286.39,74,Tier 2,50,21406.9,29,0,3,High,19838.0,31.71
D0101,Cardiolax,Oncology,Small Molecule,2010,Europe,05-2021,198,265.77,129.03,34.67,161.74,41,Tier 2,40,84356.75,35,0,6,High,52622.46,27.01
D0175,Pulmofix,Rheumatology,Small Molecule,2013,North America,05-2021,203,496.28,23.86,485.55,114.89,72,Tier 3,38,102628.05,20,0,3,Low,100744.84,29.08
D0131,Dermasol,Neurology,Biologic,2004,APAC,05-2021,217,333.25,256.2,463.86,194.75,51,Tier 2,29,37829.44,26,1,4,High,72315.25,45.02
D0001,ArthroAid,Rheumatology,Small Molecule,2005,APAC,05-2021,197,49.42,275.05,468.93,340.15,61,Tier 3,51,174864.7,38,0,5,Mid,9735.74,26.34
D0005,Diabetrol,Immunology,Small Molecule,2009,North America,05-2021,213,272.28,116.6,195.2,234.59,52,Tier 2,58,63988.43,26,0,4,Low,57995.63999999999,19.43
D0142,Neuroxin,Neurology,Biosimilar,2007,North America,05-2021,175,258.39,156.64,275.31,468.35,49,Tier 1,41,158771.62,38,0,5,Mid,45218.25,21.6
D0103,Neuroxin,Diabetes,Biosimilar,2013,Europe,05-2021,196,89.2,387.27,477.98,430.03,56,Tier 2,54,137488.95,33,0,4,Mid,17483.2,28.16
D0027,Immunexa,Dermatology,Biologic,2002,North America,05-2021,208,461.73,245.77,453.13,69.15,82,Tier 2,58,123628.71,25,0,9,High,96039.84,49.29
D0137,OncoCure,Oncology,Biologic,2011,LATAM,05-2021,201,231.57,172.33,399.32,83.13,44,Tier 3,55,46507.14,21,0,6,High,46545.57,30.88
D0015,Diabetrol,Rheumatology,Small Molecule,2015,LATAM,05-2021,189,497.39,318.86,215.52,344.59,96,Tier 1,54,51933.67,36,0,1,Low,94006.70999999999,34.49
D0090,Immunexa,Diabetes,Biosimilar,2022,North America,05-2021,211,221.63,333.32,290.88,130.77,98,Tier 1,53,18996.2,27,0,5,Mid,46763.93,18.71
D0042,Diabetrol,Pulmonology,Biologic,2016,LATAM,05-2021,187,311.82,389.31,400.6,399.69,48,Tier 3,47,55735.36,31,0,7,Mid,58310.34,16.09
D0124,ArthroAid,Rheumatology,Biologic,2000,North America,05-2021,172,70.29,95.22,151.05,303.85,52,Tier 3,45,75634.29,33,1,2,High,12089.880000000001,34.61
D0179,OncoCure,Cardiology,Biologic,2022,Europe,05-2021,215,238.03,375.93,320.7,130.32,99,Tier 1,46,168297.61,37,0,4,Mid,51176.45,23.17
D0063,Dermasol,Dermatology,Biologic,2009,LATAM,05-2021,198,134.61,307.73,417.41,249.77,91,Tier 3,49,79614.61,39,1,4,Mid,26652.780000000002,25.29
D0096,Dermasol,Cardiology,Biologic,2022,LATAM,05-2021,231,421.07,47.63,359.58,214.92,62,Tier 1,53,153378.14,33,1,2,Mid,97267.17,50.11
D0052,Neuroxin,Neurology,Biologic,2009,North America,05-2021,196,396.28,393.17,250.15,439.12,69,Tier 2,46,93494.03,29,1,4,Mid,77670.87999999999,35.06
D0096,Dermasol,Dermatology,Small Molecule,2020,LATAM,06-2021,193,415.61,203.88,300.61,35.44,82,Tier 2,53,159124.98,32,1,6,Mid,80212.73,23.65
D0132,Dermasol,Rheumatology,Biosimilar,2001,APAC,06-2021,215,367.33,178.58,494.56,450.01,94,Tier 1,61,195491.6,45,0,3,Low,78975.95,18.73
D0151,ArthroAid,Immunology,Biosimilar,2008,Europe,06-2021,208,419.69,235.08,308.95,333.0,43,Tier 1,59,55569.9,33,1,4,Mid,87295.52,42.62
D0143,Cardiolax,Diabetes,Biologic,2021,Europe,06-2021,170,116.4,186.16,397.1,374.02,60,Tier 2,52,173844.91,38,0,2,Mid,19788.0,27.51
D0171,Neuroxin,Immunology,Biosimilar,2012,LATAM,06-2021,207,236.98,182.38,368.77,21.25,82,Tier 2,49,128146.58,26,0,6,Low,49054.86,26.64
D0029,Immunexa,Rheumatology,Biosimilar,2015,LATAM,06-2021,218,352.09,407.88,356.72,321.55,48,Tier 1,45,165285.91,23,0,3,High,76755.62,45.61
D0036,Pulmofix,Neurology,Biosimilar,2017,APAC,06-2021,200,325.95,79.76,363.86,302.47,46,Tier 3,57,133801.32,29,0,4,High,65190.0,48.43
